entryID,timestamp,temperature,humidity,co2,ch4,h2s,pressure,extTemp,extHum
10048,1764571814471,30.625,78.0,400.0,,,101.64405506883604,,
10051,1764571544094,30.75,78.0,402.0,4095.0,4095.0,98.7125156445557,33.8,41.0
10052,1764570465832,30.625,,,,,102.08272841051314,,
10053,1764665466032,28.75,67.0,402.0,4095.0,4095.0,100.03166458072592,33.8,40.0
10054,1764591473837,22.25,71.0,402.0,4095.0,4095.0,102.20475594493116,27.1,68.0
10055,1764586454907,25.25,76.0,400.0,4095.0,4095.0,100.52678347934919,28.5,
10057,1764672634833,26.25,69.0,400.0,4095.0,4095.0,102.56608260325407,28.9,53.0
10059,1764670823730,27.625,69.0,401.0,4095.0,4095.0,101.85632040050064,33.8,38.0
10068,1764662975531,29.125,67.0,403.0,4095.0,4095.0,100.37584480600752,33.7,40.0
10071,1764672834968,26.0,70.0,400.0,4095.0,,101.45644555694618,,
10073,1764591181548,22.25,72.0,401.0,4095.0,4095.0,102.1744680851064,,
10079,1764676171410,22.375,70.0,410.0,4095.0,4095.0,100.43279098873592,,
10081,1764669320897,27.875,70.0,403.0,4095.0,4095.0,101.39536921151439,33.8,39.0
10082,1764673633567,25.125,69.0,400.0,4095.0,4095.0,101.07622027534418,31.3,49.0
10084,1764673248700,25.625,69.0,402.0,4095.0,4095.0,101.87271589486859,31.3,48.0
10086,1764676424119,22.125,71.0,400.0,4095.0,4095.0,101.05131414267835,,
10087,1764586317750,25.25,76.0,400.0,4095.0,4095.0,103.33854818523155,28.9,57.0
10092,1764572751535,30.0,76.0,403.0,4095.0,4095.0,99.99023779724656,33.8,41.0
10093,1764570177552,30.625,79.0,406.0,3523.0,4095.0,101.8224030037547,30.8,45.0
10095,1764672467082,26.5,69.0,400.0,4095.0,4095.0,99.06633291614519,28.5,53.0
10097,1764586670676,25.25,76.0,403.0,4095.0,4095.0,102.64768460575719,28.5,60.0
10100,1764586517553,25.25,76.0,402.0,4095.0,4095.0,100.15594493116396,28.5,58.0
10102,1764676522941,22.125,71.0,403.0,4095.0,4095.0,101.56733416770965,28.5,59.0
10103,1764597654608,20.25,71.0,401.0,4095.0,4095.0,99.61289111389237,26.7,68.0
10104,1764669641088,27.875,69.0,400.0,4052.0,4095.0,101.24430538172716,33.3,39.0
10105,1764662929376,29.125,68.0,403.0,4095.0,4095.0,101.65281602002504,33.3,39.0
10107,1764670598566,27.625,69.0,400.0,4095.0,4095.0,100.65982478097624,32.8,42.0
10108,1764670304449,27.75,69.0,403.0,4095.0,4095.0,101.56420525657073,33.3,41.0
10109,1764674595634,24.0,,,,,100.00450563204005,,
10110,1764662619411,29.0,74.0,400.0,4095.0,4095.0,102.63329161451814,,
10114,1764572837937,29.875,76.0,402.0,4095.0,4095.0,101.48335419274093,33.3,40.0
10115,1764676585256,22.0,71.0,401.0,4095.0,4095.0,101.5171464330413,23.4,72.0
10116,1764571241624,30.75,78.0,402.0,4095.0,4095.0,100.61289111389237,33.3,42.0
10117,1764674767061,23.875,70.0,401.0,4095.0,4095.0,101.36570713391741,29.8,52.0
10118,1764662821343,29.0,68.0,403.0,4095.0,4095.0,101.85531914893618,33.3,40.0
10119,1764670056343,27.75,69.0,400.0,4095.0,4095.0,101.68347934918648,33.3,40.0
10120,1764674201016,24.5,69.0,402.0,4095.0,4095.0,101.0413016270338,29.8,
10121,1764663617084,29.0,67.0,403.0,4095.0,4095.0,101.63366708385482,33.8,39.0
10124,1764601510813,19.0,69.0,400.0,4095.0,4095.0,100.98698372966207,25.3,69.0
10129,1764674650979,23.875,70.0,400.0,4095.0,4095.0,101.75744680851065,26.2,68.0
10130,1764676553463,22.125,71.0,400.0,4095.0,4095.0,102.89862327909887,23.8,71.0
10131,1764601583329,19.0,70.0,402.0,4095.0,4095.0,101.54618272841053,24.8,69.0
10132,1764675710789,22.875,70.0,403.0,4095.0,4095.0,103.02077596996246,25.8,60.0
10135,1764675542144,23.125,70.0,402.0,4095.0,4095.0,102.43642052565707,27.6,58.0
10141,1764674751197,23.875,69.0,404.0,4095.0,4095.0,101.71689612015018,29.8,52.0
10145,1764672864022,26.0,70.0,401.0,4095.0,4095.0,102.51677096370464,30.2,50.0
10148,1764669304969,27.875,69.0,402.0,4095.0,4095.0,102.81702127659575,33.3,42.0
10149,1764585253807,,,,,,103.30300375469336,,
10150,1764676537366,22.125,71.0,403.0,4095.0,4095.0,102.0351689612015,,
10151,1764601526319,18.875,69.0,403.0,4095.0,4095.0,101.07747183979976,25.3,69.0
10157,1764600857586,19.125,69.0,402.0,4095.0,4095.0,101.84818523153943,26.2,69.0
10163,1764590669225,22.625,72.0,403.0,4095.0,4095.0,102.66645807259074,27.1,69.0
10164,1764676047116,22.5,70.0,400.0,4095.0,4095.0,101.91727158948686,24.5,68.0
10169,1764570876288,30.625,78.0,406.0,4095.0,4095.0,101.89824780976221,31.3,45.0
10172,1764673264291,25.625,69.0,400.0,4095.0,4095.0,102.89724655819775,31.3,48.0
10173,1764676031359,22.625,70.0,401.0,,,103.65994993742179,,
10174,1764676572572,22.125,69.0,401.0,4095.0,4095.0,101.50400500625783,32.8,42.0
10175,1764589880654,23.0,73.0,402.0,4095.0,4095.0,102.21639549436796,28.9,60.0
10176,1764585544980,25.25,77.0,404.0,4095.0,4095.0,102.64730913642053,28.9,57.0
